code,name,enname,lat,lon,addr,line
Y20,新北產業園區,New Taipei Industrial Park,25.061667,121.458611,新北市新莊區五工路35號,Y
Y19,幸福,Xingfu,25.050127,121.459167,新北市新莊區思源路292,Y
Y18,頭前庄,Touqianzhuang,25.039735,121.461655,新北市新莊區思源路20號,Y
Y17,新埔民生,Xinpu Minsheng,25.02598,121.466734,新北市板橋區民生路三段70號,Y
Y16,板橋,Banqiao Station,25.013825,121.462305,"新北市板橋區
縣民大道二段7號新站路66號",Y
Y15,板新站,Banxin,25.01452,121.4724054,新北市板橋區板新路109號,Y
Y14,中原,Zhongyuan,25.0082019,121.4843164,新北市中和區板南路510號,Y
Y13,橋和,Qiaohe,25.00461,121.49024,新北市中和區板南路430號,Y
Y12,中和,Zhonghe,25.0082019,121.4843164,新北市中和區中山路二段271號,Y
Y11,景安,Jingan,24.99392,121.505114,新北市中和區景平路486號,Y
Y10,景平,Jingping,24.9921358,121.5160901,新北市中和區景平路121號,Y
Y09,秀朗橋,Xiulang Bridge,24.99033,121.5249863,新北市中和區景平路2號,Y
Y08,十四張站,Shisizhang,24.9845285,121.5275026,新北市新店區中正路,Y
Y07,大坪林,Dapinglin Station,24.98272,121.54134,新北市新店區北新路三段190號,Y
